timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-02-06T21:29:30+00:00,SAT-58402,211.45504127625657,30.834612132512177,993.5518480746009,-1.3878897102681131,48609.768421242894,10.5,10500048609.768421,47.655,-122.3035,60.0,6.383333333333334
2026-02-06T21:29:31+00:00,SAT-58402,210.98437397850245,30.89660004421911,992.1676791051174,-1.3412185823194684,46975.14810180588,10.5,10500046975.148102,47.655,-122.3035,60.0,6.4
2026-02-06T21:29:32+00:00,SAT-58402,210.5118003739835,30.956678782750373,990.8300561447288,-1.2943568129667173,45333.85071398471,10.5,10500045333.850714,47.655,-122.3035,60.0,6.416666666666667
2026-02-06T21:29:33+00:00,SAT-58402,210.03737371527382,31.014821784253588,989.5391693237566,-1.247310081475816,43686.07516969646,10.5,10500043686.07517,47.655,-122.3035,60.0,6.433333333333334
2026-02-06T21:29:34+00:00,SAT-58402,209.56114869339913,31.071003114986034,988.2952031084801,-1.2000842122202646,42032.02546313816,10.5,10500042032.025463,47.655,-122.3035,60.0,6.45
2026-02-06T21:29:35+00:00,SAT-58402,209.08318140513506,31.125197504481278,987.0983361564212,-1.1526851304320633,40371.90912099818,10.5,10500040371.90912,47.655,-122.3035,60.0,6.466666666666667
2026-02-06T21:29:36+00:00,SAT-58402,208.60352933237144,31.17738037645248,985.9487412157532,-1.1051188933859497,38705.93829466007,10.5,10500038705.938295,47.655,-122.3035,60.0,6.483333333333333
2026-02-06T21:29:37+00:00,SAT-58402,208.12225130678385,31.227527880767322,984.8465849936141,-1.0573916724255719,37034.329130683145,10.5,10500037034.32913,47.655,-122.3035,60.0,6.5
2026-02-06T21:29:38+00:00,SAT-58402,207.63940747702142,31.275616924210627,983.792028042342,-1.0095097482262463,35357.301604884226,10.5,10500035357.301605,47.655,-122.3035,60.0,6.516666666666667
2026-02-06T21:29:39+00:00,SAT-58402,207.15505927419235,31.32162520056308,982.7852246504386,-0.9614795077748591,33675.07941656098,10.5,10500033675.079416,47.655,-122.3035,60.0,6.533333333333333
2026-02-06T21:29:40+00:00,SAT-58402,206.66926937492164,31.365531220004854,981.8263227365399,-0.91330744917191,31987.89015667984,10.5,10500031987.890156,47.655,-122.3035,60.0,6.55
